"text_code",category_id,"term",weight,frequency,score,"language","create_time"
"107-1_00250010_73",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_73",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_75",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_75",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_75",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_76",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_76",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_76",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_79",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_79",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_82",3,"健康",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_82",10,"健康",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_87",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_87",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_88",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_88",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_89",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_89",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_90",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_90",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_93",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_93",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_94",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_94",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_96",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_96",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_98",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_98",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_99",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_99",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",1,"生活品質",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",2,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",8,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",9,"生活品質",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",10,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A3",16,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",1,"生活品質",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",2,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",8,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",9,"生活品質",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",10,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A4",16,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",1,"生活品質",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",2,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",3,"健康",2.0,6,12.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",8,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",9,"生活品質",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",10,"生活品質",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",10,"健康",1.0,6,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A5",16,"生活品質",5.0,1,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A8",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A8",15,"種類",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A9",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_A9",15,"種類",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B1",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B1",15,"種類",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B2",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B4",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B4",15,"種類",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B5",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B5",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B6",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B6",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B9",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_B9",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C1",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C1",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",1,"環境",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",2,"營養",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",2,"環境",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",8,"工作",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C4",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",1,"環境",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",2,"營養",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",2,"環境",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",8,"工作",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C6",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",1,"環境",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",2,"營養",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",2,"環境",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",8,"工作",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C7",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",1,"環境",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",2,"營養",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",2,"環境",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",8,"工作",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_C8",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_D4",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_F9",3,"健康",2.0,7,14.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_F9",9,"研究",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_F9",10,"健康",1.0,7,7.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G1",3,"健康",2.0,7,14.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G1",9,"研究",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G1",10,"健康",1.0,7,7.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G6",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G6",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G6",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G6",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G6",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G7",3,"健康",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G7",8,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G7",9,"社會",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G7",10,"社會",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G7",10,"健康",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G8",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G8",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G8",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G8",13,"COP",9.0,1,9.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G9",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G9",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G9",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_G9",13,"COP",9.0,1,9.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H1",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H1",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H1",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H1",13,"COP",9.0,1,9.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H2",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H2",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H2",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H2",13,"COP",9.0,1,9.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H3",13,"COP",9.0,1,9.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H3",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H3",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H3",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H6",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H6",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H7",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H7",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H9",3,"健康",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_H9",10,"健康",1.0,3,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J1",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J1",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J2",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J2",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J3",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J3",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J5",3,"健康",2.0,4,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_J5",10,"健康",1.0,4,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_V1",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_V2",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250010_V3",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250080_D5",3,"疾病",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250290_30",7,"風",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250290_77",9,"合作",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250290_78",9,"合作",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250310_H8",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250310_H8",7,"風",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250310_H8",9,"研究",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250310_H8",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250310_H8",16,"自由",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_22",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_22",15,"保護",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_23",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_23",15,"保護",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_24",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250440_24",15,"保護",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250570_16",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250570_16",9,"技術",2.0,8,16.0,"CH","2020-05-12 23:39:13"
"107-1_00250570_16",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250570_16",15,"保護",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250580_C5",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250580_C5",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250580_C5",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_A7",6,"水",4.0,2,8.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_A7",11,"水",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_A7",12,"水",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_A7",16,"自由",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_C3",6,"水",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_C3",11,"水",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_C3",12,"水",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250630_C3",16,"自由",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250640_B3",6,"水",4.0,1,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250640_B3",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250640_B3",11,"水",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250640_B3",12,"水",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250650_D6",6,"水",4.0,5,20.0,"CH","2020-05-12 23:39:13"
"107-1_00250650_D6",9,"合作",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250650_D6",11,"水",1.0,5,5.0,"CH","2020-05-12 23:39:13"
"107-1_00250650_D6",12,"水",2.0,5,10.0,"CH","2020-05-12 23:39:13"
"107-1_00250740_K8",5,"開發",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250740_K8",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250740_K8",16,"開發",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_05",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_05",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_06",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_06",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_10",4,"教育",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_10",7,"波",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_10",10,"教育",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_10",16,"教育",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_40",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_40",9,"技術",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_40",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_41",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_41",9,"技術",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250780_41",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250860_35",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250860_35",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250860_55",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250870_37",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250870_37",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250870_37",16,"自由",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",4,"學校",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250880_K9",16,"自由",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250900_86",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250900_86",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250900_A1",9,"技術",2.0,3,6.0,"CH","2020-05-12 23:39:13"
"107-1_00250910_V4",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250930_L5",3,"健康",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250930_L5",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250930_L5",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250930_L5",9,"技術能力",3.0,1,3.0,"CH","2020-05-12 23:39:13"
"107-1_00250930_L5",10,"健康",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_64",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_64",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_84",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_84",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_85",9,"合作",1.0,1,1.0,"CH","2020-05-12 23:39:13"
"107-1_00250960_85",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250970_65",9,"合作",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250970_65",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250970_66",9,"合作",1.0,2,2.0,"CH","2020-05-12 23:39:13"
"107-1_00250970_66",9,"技術",2.0,2,4.0,"CH","2020-05-12 23:39:13"
"107-1_00250990_L6",9,"技術",2.0,1,2.0,"CH","2020-05-12 23:39:13"
"107-1_00251030_L9",4,"學校",1.0,1,1.0,"CH","2020-05-12 23:39:13"
